date,revenue
2022-06-20,150536.89
2022-06-21,140866.74
2022-06-22,105468.67
2022-06-23,89762.85
2022-06-24,98218.05
2022-06-25,104860.83
2022-06-26,60185.95
2022-06-27,66741.84
2022-06-28,62635.81
2022-06-29,82971.23
2022-06-30,105966.45
2022-07-01,93550.80
2022-07-02,122712.08
2022-07-03,59201.53
2022-07-04,40859.05
2022-07-05,144569.85
2022-07-06,91164.54
2022-07-07,93646.96
2022-07-08,65154.98
2022-07-09,64010.24
2022-07-10,34368.10
2022-07-11,188640.45
2022-07-12,367605.80
2022-07-13,59722.09
2022-07-14,69400.03
2022-07-15,380593.30
2022-07-16,90639.33
2022-07-17,73655.48
2022-07-18,69797.93
2022-07-19,105826.15
2022-07-20,118111.28
2022-07-21,105785.97
2022-07-22,81771.45
2022-07-23,89230.29
2022-07-24,53729.73
2022-07-25,58416.43
2022-07-26,79175.61
2022-07-27,550508.71
2022-07-28,89541.54
2022-07-29,227002.74
2022-07-30,81270.71
2022-07-31,63558.63
2022-08-01,45651.32
2022-08-02,61163.05
2022-08-03,70399.87
2022-08-04,47535.01
2022-08-05,54575.48
2022-08-06,67365.42
2022-08-07,33925.58
2022-08-08,33638.77
2022-08-09,49454.22
2022-08-10,66240.63
2022-08-11,69864.63
2022-08-12,82228.67
2022-08-13,184289.18
2022-08-14,52497.88
2022-08-15,41599.18
2022-08-16,66792.22
2022-08-17,199859.79
2022-08-18,69349.35
2022-08-19,408378.35
2022-08-20,269587.47
2022-08-21,150090.29
2022-08-22,57188.30
2022-08-23,69879.99
2022-08-24,73650.61
2022-08-25,64447.58
2022-08-26,71539.71
2022-08-27,80488.07
2022-08-28,509114.55
2022-08-29,306075.42
2022-08-30,57241.16
2022-08-31,328109.61
2022-09-01,503728.69
2022-09-02,51693.84
2022-09-03,45488.91
2022-09-04,62677.78
2022-09-05,47372.16
2022-09-06,39994.94
2022-09-07,527005.84
2022-09-08,67174.58
2022-09-09,50912.82
2022-09-10,69680.07
2022-09-11,39006.62
2022-09-12,40340.07
2022-09-13,60831.74
2022-09-14,74324.50
2022-09-15,88791.25
2022-09-16,350061.22
2022-09-17,63567.97
2022-09-18,139721.72
2022-09-19,47259.87
2022-09-20,58333.95
2022-09-21,51280.44
2022-09-22,64604.79
2022-09-23,46093.63
2022-09-24,50955.02
2022-09-25,26355.30
2022-09-26,32686.54
2022-09-27,39623.29
2022-09-28,55478.39
