date,treasury
2021-10-30,584890908.71
2021-10-31,546719442.53
2021-11-01,554421284.01
2021-11-02,529299318.36
2021-11-03,540421425.38
2021-11-04,513528984.81
2021-11-05,502964664.61
2021-11-06,507198082.56
2021-11-07,559563693.49
2021-11-08,575093241.83
2021-11-09,562325445.71
2021-11-10,503177598.57
2021-11-11,517995812.70
2021-11-12,500168832.01
2021-11-13,525890728.99
2021-11-14,509531731.82
2021-11-15,484885017.10
2021-11-16,459463170.33
2021-11-17,498425321.81
2021-11-18,510694528.04
2021-11-19,493444512.73
2021-11-20,487139052.85
2021-11-21,470803954.82
2021-11-22,525268754.71
2021-11-23,628582082.75
2021-11-24,721929382.75
2021-11-25,731277838.28
2021-11-26,612920077.86
2021-11-27,596190714.61
2021-11-28,605904155.91
2021-11-29,583390041.12
2021-11-30,623233497.38
2021-12-01,615032490.11
2021-12-02,587832578.13
2021-12-03,543906863.24
2021-12-04,467566484.73
2021-12-05,448402727.06
2021-12-06,462227955.00
2021-12-07,518064422.30
2021-12-08,516516478.56
2021-12-09,457657733.55
2021-12-10,416426941.48
2021-12-11,464793230.14
2021-12-12,476907579.93
2021-12-13,414101826.33
2021-12-14,424270255.22
2021-12-15,459990712.47
2021-12-16,477576186.55
2021-12-17,529557617.25
2021-12-18,559517365.24
2021-12-19,516909686.55
2021-12-20,514603977.46
2021-12-21,576859384.27
2021-12-22,624735293.25
2021-12-23,641792468.46
2021-12-24,639690991.16
2021-12-25,724077965.98
2021-12-26,711889092.04
2021-12-27,659632676.86
2021-12-28,591421572.64
2021-12-29,598567985.19
2021-12-30,631688596.51
2021-12-31,662564773.18
2022-01-01,770428426.08
2022-01-02,749301527.89
2022-01-03,807835904.65
2022-01-04,757124033.15
2022-01-05,671891203.16
2022-01-06,668697769.26
2022-01-07,620988354.64
2022-01-08,573173478.47
2022-01-09,558992433.86
2022-01-10,534193892.64
2022-01-11,569307474.90
2022-01-12,606989647.10
2022-01-13,621048807.25
2022-01-14,658414378.57
2022-01-15,659118152.38
2022-01-16,639174076.67
2022-01-17,588876467.85
2022-01-18,564859189.85
2022-01-19,522144820.75
2022-01-20,492040773.40
2022-01-21,410139807.82
2022-01-22,355371540.21
2022-01-23,374933309.24
2022-01-24,348028248.65
2022-01-25,376270528.47
2022-01-26,357538706.54
2022-01-27,342214337.37
