date,trading_volume
2021-10-07,452193781.18
2021-10-08,416238824.94
2021-10-09,224557516.28
2021-10-10,301767122.64
2021-10-11,297287298.30
2021-10-12,338626833.34
2021-10-13,287205738.25
2021-10-14,611193021.89
2021-10-15,584982708.26
2021-10-16,431035124.09
2021-10-17,278258960.20
2021-10-18,381980384.76
2021-10-19,415225620.37
2021-10-20,641230425.10
2021-10-21,474671280.26
2021-10-22,518432915.88
2021-10-23,242364800.49
2021-10-24,294205617.40
2021-10-25,342535546.00
2021-10-26,371666168.75
2021-10-27,603370474.31
2021-10-28,689053446.18
2021-10-29,1049004476.69
2021-10-30,532385548.69
2021-10-31,345577275.41
2021-11-01,314277710.15
2021-11-02,458972730.38
2021-11-03,313176358.13
2021-11-04,485130182.20
2021-11-05,557576776.34
2021-11-06,287060598.67
2021-11-07,332667307.11
2021-11-08,624132921.52
2021-11-09,493479716.43
2021-11-10,924087831.44
2021-11-11,479765641.29
2021-11-12,423400914.38
2021-11-13,378405694.21
2021-11-14,233308356.02
2021-11-15,361917458.48
2021-11-16,676641673.18
2021-11-17,697735332.00
2021-11-18,630980490.60
2021-11-19,511316948.07
2021-11-20,314409295.99
2021-11-21,384078571.82
2021-11-22,759606055.25
2021-11-23,416666285.15
2021-11-24,545472309.41
2021-11-25,625197033.64
2021-11-26,681064238.70
2021-11-27,358163879.44
2021-11-28,381631782.25
2021-11-29,293056179.92
2021-11-30,729711717.67
2021-12-01,951731095.22
2021-12-02,958052685.53
2021-12-03,950684959.19
2021-12-04,1455178390.63
2021-12-05,815837304.65
2021-12-06,991023114.85
2021-12-07,501234574.33
2021-12-08,603852420.26
2021-12-09,976405641.47
2021-12-10,766120796.48
2021-12-11,575151356.10
2021-12-12,293776826.23
2021-12-13,630045791.71
2021-12-14,584408927.11
2021-12-15,588939915.78
2021-12-16,423774416.81
2021-12-17,586558385.55
2021-12-18,1048078706.33
2021-12-19,528283743.90
2021-12-20,852411333.93
2021-12-21,1292570150.83
2021-12-22,779914223.89
2021-12-23,946744901.11
2021-12-24,738634766.71
2021-12-25,427880225.66
2021-12-26,374295132.10
2021-12-27,536104628.10
2021-12-28,400145977.40
2021-12-29,477581979.05
2021-12-30,594423601.06
2021-12-31,510679985.45
2022-01-01,720948995.25
2022-01-02,345341717.38
2022-01-03,519733231.38
2022-01-04,460918438.42
2022-01-05,652399171.07
2022-01-06,810405877.45
2022-01-07,897008327.20
2022-01-08,497788321.63
2022-01-09,432323126.24
2022-01-10,540151572.67
2022-01-11,498785435.88
2022-01-12,375851239.29
2022-01-13,537116535.49
2022-01-14,348233865.35
2022-01-15,362338539.96
2022-01-16,344071828.65
2022-01-17,483745998.55
2022-01-18,462268921.02
2022-01-19,782130799.81
2022-01-20,798442025.51
2022-01-21,1918400530.37
2022-01-22,2285555543.30
2022-01-23,657590477.22
2022-01-24,1136113139.95
2022-01-25,686910130.87
2022-01-26,1042242677.74
2022-01-27,3100536961.05
2022-01-28,4292060897.05
2022-01-29,1498034921.72
2022-01-30,598764953.67
2022-01-31,600527127.11
2022-02-01,465285406.96
2022-02-02,415387850.37
2022-02-03,437578312.81
2022-02-04,690199603.32
2022-02-05,499314803.40
2022-02-06,324508773.91
2022-02-07,1829626732.99
2022-02-08,516194815.48
2022-02-09,445008003.63
2022-02-10,486971585.56
2022-02-11,491415693.98
2022-02-12,274881883.27
2022-02-13,318237345.40
2022-02-14,457297509.81
2022-02-15,306503579.41
2022-02-16,405641480.56
2022-02-17,475049344.29
2022-02-18,403711111.77
2022-02-19,280482937.72
2022-02-20,257262210.40
2022-02-21,478716971.00
2022-02-22,506466659.30
2022-02-23,478685035.07
2022-02-24,904965994.79
2022-02-25,774006435.40
2022-02-26,398910527.67
2022-02-27,407175468.70
2022-02-28,505620786.92
2022-03-01,555573747.29
2022-03-02,616233008.25
2022-03-03,445731648.31
2022-03-04,562082574.76
2022-03-05,484280386.29
2022-03-06,609202205.73
2022-03-07,603301914.28
2022-03-08,521863985.10
2022-03-09,377701192.10
2022-03-10,393459770.85
2022-03-11,562192946.15
2022-03-12,477184664.81
2022-03-13,498821666.03
2022-03-14,410851104.23
2022-03-15,292941657.17
2022-03-16,517479280.82
2022-03-17,500247184.00
2022-03-18,623231476.67
2022-03-19,245880407.52
2022-03-20,248344612.37
2022-03-21,289486309.09
2022-03-22,341785471.09
2022-03-23,416390091.25
2022-03-24,624718435.51
2022-03-25,730742059.80
2022-03-26,314478692.37
2022-03-27,372193307.81
2022-03-28,444694579.29
2022-03-29,380946079.32
2022-03-30,491552588.86
2022-03-31,887104636.03
2022-04-01,539321709.45
2022-04-02,504385121.28
2022-04-03,316182835.04
2022-04-04,470940623.03
2022-04-05,401107655.49
2022-04-06,446416726.09
2022-04-07,451179392.15
2022-04-08,468805717.82
2022-04-09,266964769.68
2022-04-10,261887001.02
2022-04-11,819582709.05
2022-04-12,501465260.15
2022-04-13,442763163.46
2022-04-14,396650649.86
2022-04-15,672507687.40
2022-04-16,312011172.83
2022-04-17,546281630.22
2022-04-18,314169450.38
2022-04-19,301724627.00
2022-04-20,419784542.93
2022-04-21,505787561.91
2022-04-22,523602084.75
2022-04-23,246904475.07
2022-04-24,162612711.73
2022-04-25,434047184.12
2022-04-26,359591072.56
2022-04-27,369762911.47
2022-04-28,510300764.99
2022-04-29,338302285.22
2022-04-30,570395685.63
2022-05-01,443336685.18
2022-05-02,452353692.55
2022-05-03,325916462.49
2022-05-04,390436916.43
2022-05-05,414813186.95
2022-05-06,460025910.69
2022-05-07,1335848046.20
2022-05-08,2182859755.82
2022-05-09,3289979073.63
2022-05-10,2840462629.24
2022-05-11,4760508355.93
2022-05-12,6006129767.51
2022-05-13,1806862990.11
2022-05-14,966957285.75
2022-05-15,982059971.06
2022-05-16,603813977.50
2022-05-17,456993325.65
2022-05-18,440169123.02
2022-05-19,607435916.72
2022-05-20,709428168.72
2022-05-21,580995791.35
2022-05-22,192262396.97
2022-05-23,303573046.48
2022-05-24,269875391.48
2022-05-25,348156872.32
2022-05-26,417420167.77
2022-05-27,419663672.83
2022-05-28,197939487.41
2022-05-29,117406486.28
2022-05-30,358772137.40
2022-05-31,207823123.01
2022-06-01,277386240.90
2022-06-02,299895715.94
2022-06-03,187850987.36
2022-06-04,256787166.74
2022-06-05,245176919.79
2022-06-06,223280684.93
