date,pool_transaction_volume
2022-10-20,14497156.435
2022-10-21,15175119.46
2022-10-22,3825361.22
2022-10-23,15371064.045
2022-10-24,19881171.935
2022-10-25,42874638.09
2022-10-26,53747682.935
2022-10-27,62504636.71
2022-10-28,20226696.47
2022-10-29,20963272.165
2022-10-30,19519014.67
2022-10-31,40875115.995
2022-11-01,31732539.37
2022-11-02,41932761.355
2022-11-03,41638901.425
2022-11-04,29232124.2
2022-11-05,17357654.52
2022-11-06,20763318.685
2022-11-07,22478960.12
2022-11-08,145510069.145
2022-11-09,264756807.915
2022-11-10,186711874.375
2022-11-11,127327857.215
2022-11-12,65200923.885
2022-11-13,51879543.51
2022-11-14,67467386.97
2022-11-15,41560001.585
2022-11-16,38730174.58
2022-11-17,32742560.835
2022-11-18,26062553.41
2022-11-19,23664981.825
2022-11-20,26309344.795
2022-11-21,36761024.725
2022-11-22,48988370.425
2022-11-23,42671654.705
2022-11-24,34397292.76
2022-11-25,41967283.53
2022-11-26,40037118
2022-11-27,29910671.8
2022-11-28,17642742.25
2022-11-29,8931029.905
2022-11-30,11980262.545
2022-12-01,19078515.57
2022-12-02,27683298.35
2022-12-03,6443192.715
2022-12-04,6964881.975
2022-12-05,11806695.175
2022-12-06,7461029.21
2022-12-07,11151003.18
2022-12-08,27017386.88
2022-12-09,11503919.03
2022-12-10,9747960.68
2022-12-11,7162312.675
2022-12-12,18181739.65
2022-12-13,16927075.285
2022-12-14,12355952.96
2022-12-15,6380986.66
2022-12-16,12862138.625
2022-12-17,23614358.405
2022-12-18,16016304.44
2022-12-19,22870084.705
2022-12-20,10206784.42
2022-12-21,13005160.76
2022-12-22,15348787.315
2022-12-23,19085082.42
2022-12-24,6540914.53
2022-12-25,11845208.105
2022-12-26,2421610.225
2022-12-27,12105873.515
2022-12-28,12789169.825
2022-12-29,11447445.505
2022-12-30,12994888.735
2022-12-31,15227857.995
2023-01-01,11296662.58
2023-01-02,6753731.89
2023-01-03,11672280.43
2023-01-04,7344134.81
2023-01-05,7694456.965
2023-01-06,9135469.545
2023-01-07,1011231.39
2023-01-08,3131325.14
2023-01-09,8518204.94
2023-01-10,4943110.335
2023-01-11,25436150.885
2023-01-12,21201136.125
2023-01-13,10728998.72
2023-01-14,38605574.77
2023-01-15,21744188.695
2023-01-16,33265050.105
2023-01-17,32519930.965
2023-01-18,55810487.075
2023-01-19,34134336.09
2023-01-20,25417372.58
2023-01-21,49184772.965
2023-01-22,34477261.26
2023-01-23,41292831.16
2023-01-24,55719361.815
2023-01-25,44724120.02
2023-01-26,46153207.51
2023-01-27,39584155.37
2023-01-28,25635003.77
2023-01-29,13014363.765
2023-01-30,11431826.54
2023-01-31,13113751.705
2023-02-01,34883019.89
2023-02-02,18281019.355
2023-02-03,25940776.875
2023-02-04,17227730.95
2023-02-05,18203659.62
2023-02-06,24257747.95
2023-02-07,34027176.66
2023-02-08,33842194.11
2023-02-09,49859467.885
2023-02-10,14664914.225
2023-02-11,16243301.325
2023-02-12,8016814.97
2023-02-13,80468487.28
2023-02-14,38750019.805
2023-02-15,19690627.725
2023-02-16,27184130.66
2023-02-17,24365898.185
2023-02-18,36990250.79
2023-02-19,26274267.385
2023-02-20,26741109.045
2023-02-21,24001770.19
2023-02-22,22110721.235
2023-02-23,32668150.86
2023-02-24,31680729.86
2023-02-25,8591013.93
2023-02-26,26101101.475
2023-02-27,20059337.895
2023-02-28,25556664.75
2023-03-01,13392470.17
2023-03-02,25651551.065
2023-03-03,13155613.07
2023-03-04,4967800.025
2023-03-05,32119355.8
2023-03-06,22612371.11
2023-03-07,25846752.89
2023-03-08,21288138.92
2023-03-09,15791272.42
2023-03-10,54900774.64
2023-03-11,585381548.605
2023-03-12,137841646.12
2023-03-13,133385467.215
2023-03-14,159714198.865
2023-03-15,133046864.955
2023-03-16,107855460.335
2023-03-17,149085329.015
2023-03-18,113150082.8
2023-03-19,109822148.895
2023-03-20,62263194.345
2023-03-21,56301308.085
2023-03-22,69918780.81
2023-03-23,46704568.855
2023-03-24,28093684.965
2023-03-25,21498711.735
2023-03-26,28327131.13
2023-03-27,38205237.635
2023-03-28,26969673.05
2023-03-29,9321111.02
2023-03-30,33713007.58
2023-03-31,17096946.07
2023-04-01,18330344.345
2023-04-02,13199815.285
2023-04-03,25784092.4
2023-04-04,18389647.92
2023-04-05,13279033.415
2023-04-06,26450384.445
2023-04-07,15574908.365
2023-04-08,18246352.505
2023-04-09,12046938.67
2023-04-10,15871939.065
2023-04-11,8632144.565
2023-04-12,18791557.41
2023-04-13,13938992.56
2023-04-14,71115384.88
2023-04-15,31708736.705
2023-04-16,25696805.475
2023-04-17,11204256.605
2023-04-18,11050882.055
2023-04-19,19154413.3
2023-04-20,17283356.185
2023-04-21,19509768.72
2023-04-22,10449422.14
2023-04-23,24242393.02
2023-04-24,24624983.515
2023-04-25,26109514.045
2023-04-26,29529205.675
2023-04-27,61701665.775
2023-04-28,45080815.205
2023-04-29,23845945.395
2023-04-30,21020919.005
2023-05-01,13285885.575
2023-05-02,22585332.17
2023-05-03,33324419.44
2023-05-04,19124470.255
2023-05-05,14366479.405
2023-05-06,15205042.03
