date,token_incentives
2022-01-16,3088488.13
2022-01-17,2758811.32
2022-01-18,2745745.59
2022-01-19,2598112.27
2022-01-20,3403179.06
2022-01-21,1890459.22
2022-01-22,1855837.69
2022-01-23,1736778.32
2022-01-24,1663591.67
2022-01-25,1809072.78
2022-01-26,1642143.91
2022-01-27,2375066.02
2022-01-28,1800586.78
2022-01-29,1841885.90
2022-01-30,1867323.86
2022-01-31,1948402.38
2022-02-01,2046756.10
2022-02-02,1925908.29
2022-02-03,2802540.19
2022-02-04,1997783.14
2022-02-05,2214107.73
2022-02-06,1898259.33
2022-02-07,2298255.31
2022-02-08,2043545.40
2022-02-09,2052222.65
2022-02-10,2736320.57
2022-02-11,1736966.83
2022-02-12,1711545.20
2022-02-13,1638529.67
2022-02-14,1710790.72
2022-02-15,1756430.52
2022-02-16,2070778.66
2022-02-17,2502537.14
2022-02-18,1678400.72
2022-02-19,1652171.89
2022-02-20,1560530.75
2022-02-21,1306518.40
2022-02-22,1487018.51
2022-02-23,1353393.36
2022-02-24,2015713.98
2022-02-25,1358189.29
2022-02-26,1447928.21
2022-02-27,1285139.89
2022-02-28,1523228.84
2022-03-01,1590950.88
2022-03-02,1527854.10
2022-03-03,2136233.96
2022-03-04,1369836.00
2022-03-05,1355811.06
2022-03-06,1159030.09
2022-03-07,1168836.57
2022-03-08,1225702.83
2022-03-09,1321250.54
2022-03-10,1808605.35
2022-03-11,1182497.83
2022-03-12,1175011.15
2022-03-13,1097867.48
2022-03-14,1181737.92
2022-03-15,1106372.31
2022-03-16,1254221.14
2022-03-17,1757530.76
2022-03-18,1307546.10
2022-03-19,1400840.29
2022-03-20,1245631.94
2022-03-21,1332510.43
2022-03-22,1326667.67
2022-03-23,1345750.12
2022-03-24,2016737.02
2022-03-25,1320615.93
2022-03-26,1505454.96
2022-03-27,1466905.13
2022-03-28,1564689.59
2022-03-29,1616954.62
2022-03-30,1761881.00
2022-03-31,2134528.70
2022-04-01,1698119.81
2022-04-02,1754354.72
2022-04-03,1818283.56
2022-04-04,1696576.62
2022-04-05,1688706.01
2022-04-06,1479100.95
2022-04-07,2072381.54
2022-04-08,1358149.77
2022-04-09,1474614.57
2022-04-10,1417285.52
2022-04-11,1259826.57
2022-04-12,1327466.08
2022-04-13,1287722.80
2022-04-14,1953512.90
2022-04-15,1335948.21
2022-04-16,1289808.03
2022-04-17,1276404.29
2022-04-18,1286611.54
2022-04-19,1346671.47
2022-04-20,1310942.57
2022-04-21,1898383.12
2022-04-22,1468755.26
2022-04-23,1773979.63
2022-04-24,1534211.75
2022-04-25,1617044.80
2022-04-26,1337478.78
2022-04-27,1464959.01
2022-04-28,2157956.75
2022-04-29,1245387.27
2022-04-30,1076392.89
2022-05-01,1190312.76
2022-05-02,1227419.96
2022-05-03,1255453.56
2022-05-04,1518057.30
2022-05-05,2155658.26
2022-05-06,1400922.61
2022-05-07,1239340.43
2022-05-08,1324023.05
2022-05-09,1056340.93
2022-05-10,1238321.20
2022-05-11,775993.98
2022-05-12,1433779.80
2022-05-13,923949.26
2022-05-14,806203.81
2022-05-15,858938.70
2022-05-16,781404.10
2022-05-17,762798.51
2022-05-18,669398.72
2022-05-19,1047767.15
2022-05-20,650625.24
2022-05-21,677746.08
2022-05-22,760353.62
2022-05-23,768051.74
2022-05-24,726445.61
2022-05-25,690907.67
2022-05-26,1045860.81
2022-05-27,658290.36
2022-05-28,706748.71
