date,market_cap_fully_diluted
2021-08-07,6391634165.75
2021-08-08,6291435319.64
2021-08-09,5793016371.23
2021-08-10,6187011057.73
2021-08-11,6745208621.04
2021-08-12,6755892525.47
2021-08-13,6706341631.02
2021-08-14,7786079391.98
2021-08-15,7475670999.72
2021-08-16,7320097281.91
2021-08-17,7019454986.46
2021-08-18,6327199176.45
2021-08-19,6396644688.42
2021-08-20,7038417412.46
2021-08-21,7526113778.13
2021-08-22,7334553396.27
2021-08-23,8042042478.11
2021-08-24,7790682694.30
2021-08-25,6970837652.81
2021-08-26,7287983090.53
2021-08-27,6890816670.83
2021-08-28,7179637620.80
2021-08-29,6919219670.24
2021-08-30,6986132031.71
2021-08-31,6976252380.04
2021-09-01,7404752512.81
2021-09-02,7573889215.71
2021-09-03,7301801131.31
2021-09-04,7282791613.89
2021-09-05,7505789560.07
2021-09-06,8161805846.51
2021-09-07,8244614330.90
2021-09-08,6586017874.86
2021-09-09,6559934114.50
2021-09-10,7877299125.89
2021-09-11,7055754042.63
2021-09-12,7486643029.69
2021-09-13,7987585640.63
2021-09-14,7830874852.67
2021-09-15,9242790979.43
2021-09-16,10010799185.88
2021-09-17,10265310877.36
2021-09-18,9276117467.87
2021-09-19,9514607263.39
2021-09-20,10079106484.72
2021-09-21,7977806642.02
2021-09-22,7174018359.72
2021-09-23,8075755331.81
2021-09-24,9210750451.39
2021-09-25,7986862711.66
2021-09-26,7661652292.31
2021-09-27,8422466068.06
2021-09-28,7827451633.12
2021-09-29,7421357903.75
2021-09-30,7551285853.34
2021-10-01,7705446460.54
2021-10-02,8362137335.12
2021-10-03,8426257999.87
2021-10-04,9334152309.66
2021-10-05,9490066618.67
2021-10-06,9678143199.28
2021-10-07,9048657719.45
2021-10-08,9280372896.65
2021-10-09,9698103196.06
2021-10-10,9603267527.93
2021-10-11,8902364566.53
2021-10-12,8907101952.66
2021-10-13,8869976799.45
2021-10-14,9820703551.50
2021-10-15,9511301618.06
2021-10-16,9617108821.53
2021-10-17,9643483116.48
2021-10-18,9498236233.57
2021-10-19,9229617159.25
2021-10-20,9264239069.40
2021-10-21,9630807715.11
2021-10-22,9472144480.56
2021-10-23,11093795120.26
2021-10-24,12141104477.60
2021-10-25,11588645407.03
2021-10-26,15855164776.04
2021-10-27,15239216657.98
2021-10-28,14759515999.95
2021-10-29,15725256890.83
2021-10-30,15353133495.73
2021-10-31,15603549913.63
2021-11-01,14623743838.46
2021-11-02,14808086750.72
2021-11-03,14188576661.09
2021-11-04,14519529776.49
2021-11-05,13800134462.81
2021-11-06,13524627664.29
2021-11-07,13603578224.54
2021-11-08,14872189890.11
2021-11-09,15340523914.37
2021-11-10,14948292042.81
2021-11-11,13529588867.25
2021-11-12,13849795498.05
2021-11-13,13334607137.60
2021-11-14,14089554317.10
2021-11-15,13697780436.33
2021-11-16,13060066700.67
2021-11-17,12303614070.93
2021-11-18,13390006466.38
2021-11-19,13490384605.74
2021-11-20,13105745236.47
2021-11-21,13073976465.91
2021-11-22,12692844708.46
2021-11-23,13851443119.68
2021-11-24,16749212114.73
2021-11-25,19262130297.08
2021-11-26,19417014846.72
2021-11-27,16268843944.81
2021-11-28,15872611693.71
2021-11-29,16035772332.98
2021-11-30,15502386672.42
2021-12-01,16177265732.72
2021-12-02,16472108397.91
2021-12-03,15729250693.87
2021-12-04,14474226790.72
2021-12-05,12321330343.60
2021-12-06,11842320739.18
2021-12-07,12289201606.31
2021-12-08,13730872775.27
2021-12-09,13805987278.77
2021-12-10,12159885025.64
2021-12-11,11072730138.17
2021-12-12,12342203066.63
2021-12-13,12648448128.68
2021-12-14,11023031755.31
2021-12-15,11262253878.18
2021-12-16,12306799159.26
2021-12-17,12737801449.43
2021-12-18,14163283221.81
2021-12-19,14926085479.68
2021-12-20,13749016188.15
2021-12-21,13685484044.27
2021-12-22,15284230105.11
2021-12-23,16634962754.20
2021-12-24,17183061477.20
2021-12-25,17099577350.29
2021-12-26,19356987805.57
2021-12-27,18952309273.86
2021-12-28,17542651864.04
2021-12-29,15720399208.88
2021-12-30,16014672164.53
2021-12-31,16921963610.94
2022-01-01,17681401534.37
2022-01-02,20636593960.87
2022-01-03,19930166734.91
2022-01-04,21496228125.73
2022-01-05,20236901011.23
2022-01-06,17971397039.20
2022-01-07,17851252072.14
2022-01-08,16548998326.84
2022-01-09,15213519685.84
2022-01-10,14974383254.22
2022-01-11,14214972640.02
2022-01-12,15225840745.27
2022-01-13,16196587294.61
2022-01-14,16568589945.80
2022-01-15,17661905680.75
2022-01-16,17522484709.13
2022-01-17,17008508564.02
2022-01-18,15779221370.96
2022-01-19,15079528861.71
2022-01-20,13879078462.93
2022-01-21,13093247396.00
2022-01-22,10899406777.07
2022-01-23,9519027383.24
2022-01-24,9929326839.79
2022-01-25,9356459430.73
2022-01-26,10066987388.97
2022-01-27,9473542952.34
2022-01-28,9243032683.94
2022-01-29,9646796750.18
2022-01-30,9893429721.08
2022-01-31,10575689412.02
2022-02-01,10852336407.01
2022-02-02,11483456082.08
2022-02-03,10293259464.69
2022-02-04,10248153243.06
